Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.725456604431023,0.24748235136672356,0.3255005500550055,0.2811799140913065,0.6129675185181582
XGBoost,0.7550814483579663,0.26164300554016623,0.266006600660066,0.2638067599118462,0.6177925183395582
